scenario,rps_mean,rps_std,tpr_mean,tpr_std,failed_sum
S2,3.63,0.9192388155425119,14221.7475,3598.892794847395,0.0
S3,6.46,0.16970562748477155,15490.8305,405.0880399129314,0.0
